epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0,0,0.21953,0.21995,0.07,33,29,28,37,29,30,31,33,27,26
1,0,0,0.21601,0.21643,0.09,33,28,28,37,29,30,31,33,27,26
2,0,0,0.21254,0.21294,0.12,33,28,28,37,29,30,31,33,27,26
3,0,0,0.20919,0.20958,0.14,33,28,27,37,29,30,32,33,26,26
4,0,0,0.206,0.20636,0.16,32,28,27,37,29,30,32,33,26,26
5,0,0,0.20273,0.20306,0.18,32,28,27,37,29,30,32,33,26,25
6,0,0,0.19934,0.19964,0.21,32,28,27,37,29,30,32,32,26,25
7,0,0,0.19586,0.19613,0.23,32,28,27,37,29,30,32,32,26,25
8,0,0,0.19233,0.19259,0.25,32,27,27,37,29,30,32,32,26,25
9,0,0,0.18878,0.18902,0.27,32,27,27,37,29,30,32,32,26,25
10,0,0,0.18525,0.18547,0.31,32,27,27,37,29,30,32,32,26,25
11,0,0,0.18177,0.18197,0.33,32,27,27,37,29,30,32,32,26,25
12,0,0,0.17836,0.17854,0.35,32,27,27,37,29,30,32,32,26,25
13,0,0,0.17504,0.1752,0.37,32,27,27,37,28,30,32,32,26,26
14,0,0,0.1718,0.17194,0.39,32,27,27,37,28,30,32,32,26,26
15,0,0,0.16867,0.16879,0.41,32,27,27,37,28,30,32,32,26,26
16,0,0,0.16564,0.16574,0.43,32,27,27,37,28,30,32,32,27,26
17,0,0,0.16274,0.16281,0.45,32,27,27,38,28,30,32,32,27,26
18,0,0,0.15996,0.16001,0.48,32,27,27,38,28,30,32,32,27,26
19,0,0,0.15731,0.15734,0.5,32,27,27,38,28,30,32,32,27,26
20,0,0,0.1548,0.15481,0.52,32,27,27,38,28,30,32,31,27,26
21,0,0,0.15244,0.15242,0.54,32,27,27,38,28,30,32,31,27,26
22,0,0,0.15022,0.15018,0.56,32,27,27,38,28,30,31,31,27,26
23,0,0,0.14815,0.14809,0.58,32,27,27,38,28,30,31,31,28,26
24,0,0,0.14624,0.14614,0.6,33,27,27,38,28,30,31,31,28,26
25,0,0,0.14447,0.14435,0.62,33,27,27,38,28,30,31,31,28,26
26,0,0,0.14286,0.14271,0.64,33,27,27,39,28,30,31,31,28,27
27,0,0,0.1414,0.14123,0.66,33,27,27,39,27,30,31,31,28,27
28,0,0,0.14008,0.13989,0.68,33,27,27,39,27,30,31,31,28,27
29,0,0,0.13891,0.13869,0.7,33,27,27,39,27,30,31,31,28,27
30,0,0,0.13789,0.13765,0.72,33,27,27,39,27,30,31,31,28,27
31,0,0,0.137,0.13673,0.74,33,27,27,39,27,30,31,31,28,27
32,0.00212,0,0.13624,0.13595,0.76,33,27,27,39,27,30,31,31,28,27
33,0.01146,0.00953,0.1356,0.13529,0.78,33,27,28,39,27,30,31,31,28,27
34,0.01911,0.01752,0.13507,0.13474,0.8,33,27,28,39,27,30,31,31,28,27
35,0.02524,0.02396,0.13465,0.1343,0.82,33,27,28,39,27,30,31,31,28,27
36,0.03002,0.02902,0.13432,0.13395,0.84,33,27,28,39,27,30,31,31,28,27
37,0.0336,0.03287,0.13407,0.13369,0.86,33,27,28,39,27,30,31,31,28,27
38,0.03615,0.03565,0.1339,0.13349,0.88,33,27,28,39,27,30,31,31,28,27
39,0.03783,0.03753,0.13378,0.13336,0.9,33,27,28,39,27,30,31,31,28,27
40,0.03879,0.03867,0.13371,0.13329,0.92,33,27,28,39,27,30,31,31,28,27
41,0.03917,0.03922,0.13369,0.13325,0.94,33,27,28,40,27,30,31,31,28,27
42,0.03911,0.03931,0.13369,0.13324,0.96,33,27,28,40,27,30,31,31,28,27
43,0.03872,0.03906,0.13372,0.13326,0.98,33,27,28,40,27,30,31,31,28,27
44,0.03812,0.03858,0.13376,0.13329,1.0,33,27,28,40,27,30,31,31,28,27
45,0.03739,0.03796,0.13381,0.13333,1.02,33,27,28,40,27,30,31,31,28,27
46,0.03662,0.03728,0.13386,0.13338,1.04,33,27,28,40,27,30,31,31,28,27
47,0.03588,0.03661,0.13391,0.13343,1.07,33,27,28,40,27,30,31,31,28,27
48,0.03521,0.036,0.13396,0.13347,1.09,33,27,28,40,27,30,31,31,28,27
49,0.03465,0.03549,0.134,0.13351,1.11,33,27,28,40,27,30,31,31,28,27
50,0.03424,0.03511,0.13403,0.13353,1.13,33,27,28,40,27,30,31,31,28,27
51,0.03398,0.03488,0.13405,0.13355,1.15,33,27,28,40,27,30,31,31,28,27
52,0.03388,0.0348,0.13405,0.13355,1.17,33,27,28,40,27,30,31,31,28,27
53,0.03394,0.03487,0.13405,0.13355,1.19,33,27,28,40,27,30,31,31,28,27
54,0.03415,0.03508,0.13403,0.13353,1.21,33,27,28,40,27,30,31,31,28,27
55,0.0345,0.03542,0.13401,0.13351,1.23,33,27,28,40,27,30,31,31,28,27
56,0.03498,0.03588,0.13398,0.13348,1.25,33,27,28,40,27,30,31,31,28,27
57,0.03555,0.03643,0.13394,0.13344,1.27,33,27,28,40,27,30,31,31,28,27
58,0.0362,0.03705,0.13389,0.1334,1.29,33,27,28,40,27,30,31,31,28,27
59,0.03691,0.03773,0.13384,0.13335,1.31,33,27,28,40,27,30,31,31,28,27
60,0.03766,0.03844,0.13379,0.1333,1.33,33,27,28,40,27,30,31,31,28,27
61,0.03843,0.03917,0.13374,0.13325,1.35,33,27,27,40,27,30,31,31,28,27
62,0.03921,0.0399,0.13368,0.1332,1.37,33,27,27,40,27,30,31,31,28,27
63,0.03997,0.04062,0.13363,0.13315,1.39,33,27,27,40,27,30,31,31,28,27
64,0.04071,0.04131,0.13358,0.1331,1.41,33,27,27,40,27,30,31,31,28,27
65,0.04142,0.04197,0.13353,0.13306,1.43,33,27,27,40,27,30,31,31,28,27
66,0.04208,0.04259,0.13348,0.13301,1.45,33,27,27,40,27,30,31,31,28,27
67,0.0427,0.04316,0.13344,0.13297,1.47,33,27,27,40,27,30,31,31,28,27
68,0.04328,0.04368,0.1334,0.13294,1.49,33,27,27,40,27,30,31,31,28,27
69,0.0438,0.04416,0.13336,0.1329,1.52,33,27,27,40,27,30,31,31,28,27
70,0.04429,0.0446,0.13333,0.13287,1.54,33,27,27,41,27,30,31,31,28,27
71,0.04473,0.045,0.1333,0.13285,1.56,33,27,27,41,27,30,31,31,28,27
72,0.04513,0.04536,0.13327,0.13282,1.58,33,27,27,41,27,30,31,31,28,27
73,0.0455,0.0457,0.13324,0.1328,1.6,33,27,27,41,27,30,31,31,28,27
74,0.04585,0.04601,0.13322,0.13278,1.62,33,27,27,41,27,30,31,31,28,27
75,0.04617,0.0463,0.1332,0.13276,1.64,33,27,27,41,27,30,31,31,28,27
76,0.04648,0.04657,0.13318,0.13274,1.66,33,27,27,41,27,30,31,31,28,27
77,0.04677,0.04684,0.13316,0.13272,1.68,33,27,27,41,27,30,31,31,28,27
78,0.04705,0.04709,0.13314,0.1327,1.7,33,27,27,41,27,30,31,31,28,27
79,0.04732,0.04734,0.13312,0.13268,1.72,33,27,27,41,27,30,31,31,28,27
80,0.04758,0.04758,0.1331,0.13267,1.74,33,27,27,41,27,30,31,31,28,27
81,0.04783,0.04781,0.13308,0.13265,1.76,33,27,27,41,27,30,31,31,28,27
82,0.04806,0.04803,0.13307,0.13264,1.78,33,27,27,41,27,30,31,31,28,27
83,0.04828,0.04823,0.13305,0.13262,1.8,33,27,27,41,27,30,31,31,28,27
84,0.04847,0.04842,0.13304,0.13261,1.82,33,27,27,42,27,30,31,31,29,27
85,0.04865,0.04859,0.13302,0.1326,1.84,33,27,27,42,27,30,31,31,29,27
86,0.04882,0.04874,0.13301,0.13259,1.86,33,27,27,42,27,30,31,31,29,27
87,0.04898,0.04889,0.133,0.13257,1.88,33,27,27,42,27,30,31,31,29,28
88,0.04913,0.04904,0.13299,0.13256,1.9,33,27,27,42,27,30,31,31,29,28
89,0.04929,0.0492,0.13298,0.13255,1.92,33,27,27,42,27,30,31,31,29,28
90,0.04946,0.04936,0.13297,0.13254,1.94,33,27,27,42,27,30,31,31,29,28
91,0.04964,0.04954,0.13296,0.13253,1.96,33,27,27,42,27,30,31,31,29,28
92,0.04982,0.04973,0.13294,0.13252,1.98,33,27,27,42,27,30,31,31,29,28
93,0.05002,0.04993,0.13293,0.1325,2.0,33,27,26,42,27,30,31,31,29,28
94,0.05022,0.05013,0.13291,0.13249,2.02,33,27,26,42,27,30,31,31,29,28
95,0.05043,0.05035,0.1329,0.13247,2.04,33,27,26,42,27,30,31,31,29,28
96,0.05064,0.05057,0.13289,0.13246,2.06,33,27,26,42,27,30,31,31,28,28
97,0.05086,0.05079,0.13287,0.13244,2.08,33,27,26,42,27,30,31,31,28,28
98,0.05107,0.05101,0.13286,0.13243,2.1,33,27,26,42,27,30,31,31,28,28
99,0.05129,0.05123,0.13284,0.13241,2.12,33,28,26,42,27,30,31,31,28,28
100,0.0515,0.05145,0.13283,0.1324,2.14,33,28,26,42,27,30,31,31,28,28
101,0.0517,0.05166,0.13281,0.13238,2.16,33,28,26,42,27,30,31,31,28,28
102,0.0519,0.05187,0.1328,0.13237,2.19,33,28,26,42,27,30,31,31,28,28
103,0.0521,0.05207,0.13278,0.13235,2.21,33,28,26,42,27,30,31,31,28,28
104,0.05229,0.05227,0.13277,0.13234,2.23,33,28,26,42,27,30,31,31,28,28
105,0.05248,0.05246,0.13276,0.13233,2.25,33,28,26,42,27,30,31,31,28,28
106,0.05266,0.05266,0.13274,0.13231,2.27,33,28,26,42,27,30,31,31,28,28
107,0.05285,0.05285,0.13273,0.1323,2.29,33,28,26,42,27,30,31,31,28,28
108,0.05304,0.05304,0.13272,0.13229,2.31,33,28,26,42,27,30,31,31,28,28
109,0.05322,0.05323,0.1327,0.13227,2.33,33,28,26,42,27,30,31,31,28,28
110,0.05341,0.05342,0.13269,0.13226,2.35,33,28,26,42,27,30,31,31,28,28
111,0.0536,0.05362,0.13268,0.13225,2.37,33,28,26,42,27,30,31,31,28,28
112,0.0538,0.05381,0.13266,0.13223,2.39,33,28,26,42,27,30,31,31,28,28
113,0.05399,0.054,0.13265,0.13222,2.41,33,28,26,42,27,30,31,31,28,28
114,0.05418,0.0542,0.13264,0.1322,2.43,33,28,26,42,27,30,31,31,28,28
115,0.05438,0.0544,0.13262,0.13219,2.46,33,28,26,42,27,30,31,31,28,28
116,0.05459,0.0546,0.13261,0.13218,2.48,33,28,26,42,27,30,31,31,28,28
117,0.05481,0.05482,0.13259,0.13216,2.5,33,28,26,42,27,30,31,30,28,28
118,0.05503,0.05503,0.13258,0.13215,2.52,33,28,26,42,27,30,31,30,28,28
119,0.05524,0.05522,0.13256,0.13213,2.54,33,28,26,42,27,30,31,30,28,28
120,0.05544,0.05541,0.13255,0.13212,2.57,33,28,26,42,27,30,31,30,28,28
121,0.05562,0.05558,0.13254,0.13211,2.59,33,28,26,42,27,30,31,30,28,28
122,0.0558,0.05575,0.13252,0.1321,2.61,33,28,26,42,27,30,31,30,28,28
123,0.05598,0.05592,0.13251,0.13208,2.63,33,29,26,42,27,30,31,30,28,28
124,0.05617,0.05611,0.1325,0.13207,2.65,33,29,26,42,28,30,31,30,28,28
125,0.05637,0.05631,0.13248,0.13206,2.68,33,29,26,42,28,30,31,30,28,28
126,0.05657,0.05651,0.13247,0.13204,2.7,33,29,26,42,28,30,31,30,28,28
127,0.05676,0.05671,0.13246,0.13203,2.72,33,29,26,42,28,30,31,30,28,28
