epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2
0,0,0,0.25275,0.25329,0.39,253,278
1,0,0,0.24976,0.25025,0.4,234,289
2,0,0,0.2449,0.2454,0.4,215,299
3,0,0,0.24145,0.24193,0.41,199,309
4,0,0,0.23618,0.23664,0.42,183,319
5,0,0,0.23167,0.23212,0.43,167,328
6,0,0,0.22804,0.2285,0.44,152,338
7,0,0,0.22449,0.22493,0.45,140,347
8,0,0,0.22067,0.2211,0.45,127,355
9,0,0,0.21697,0.2174,0.46,116,364
10,0,0,0.21542,0.216,0.47,106,373
11,0,0,0.21196,0.21252,0.48,102,371
12,0,0,0.20852,0.20888,0.49,99,367
13,0,0,0.2061,0.20649,0.5,95,364
14,0,0,0.2035,0.20388,0.5,92,363
15,0,0,0.2009,0.20127,0.51,89,361
16,0,0,0.19836,0.19871,0.52,86,361
17,0,0,0.19572,0.19603,0.53,83,360
18,0,0,0.19302,0.19331,0.54,79,360
19,0,0,0.19033,0.19061,0.55,75,361
20,0,0,0.18771,0.18796,0.56,71,362
21,0,0,0.18514,0.18536,0.57,67,362
22,0,0,0.18262,0.18282,0.58,62,362
23,0,0,0.1802,0.18038,0.58,58,363
24,0,0,0.17787,0.17803,0.59,54,363
25,0,0,0.17556,0.17567,0.6,50,365
26,0,0,0.17314,0.17333,0.61,47,369
27,0,0,0.1708,0.17087,0.62,44,368
28,0,0,0.16875,0.16874,0.63,40,367
29,0,0,0.16661,0.16667,0.64,37,369
30,0,0,0.16466,0.16471,0.65,34,369
31,0,0,0.16291,0.16288,0.66,32,368
32,0,0,0.16118,0.16119,0.67,29,368
33,0,0,0.15969,0.15974,0.67,27,369
34,0,0,0.15818,0.15816,0.68,25,368
35,0,0,0.15685,0.15681,0.69,24,368
36,0,0,0.15556,0.15556,0.7,22,369
37,0,0,0.15438,0.15439,0.71,21,369
38,0,0,0.15328,0.15323,0.72,20,368
39,0,0,0.15224,0.15219,0.72,18,368
40,0,0,0.15126,0.15124,0.73,18,369
41,0,0,0.15033,0.15029,0.74,17,369
42,0,0,0.14945,0.14937,0.75,16,368
43,0,0,0.14862,0.14853,0.76,15,368
44,0,0,0.14782,0.14774,0.77,15,369
45,0,0,0.14707,0.14699,0.77,14,369
46,0,0,0.14635,0.14623,0.78,14,368
47,0,0,0.14567,0.14554,0.79,14,368
48,0,0,0.14502,0.14489,0.8,13,368
49,0,0,0.14441,0.14428,0.81,13,369
50,0,0,0.14382,0.14368,0.82,13,368
51,0,0,0.14328,0.14311,0.82,12,368
52,0,0,0.14275,0.14258,0.83,12,368
53,0,0,0.14226,0.14209,0.84,12,368
54,0,0,0.14179,0.14162,0.85,12,369
55,0,0,0.14135,0.14115,0.86,12,368
56,0,0,0.14093,0.14072,0.87,12,368
57,0,0,0.14054,0.14032,0.87,11,368
58,0,0,0.14016,0.13994,0.88,11,368
59,0,0,0.13981,0.13958,0.89,11,369
60,0,0,0.13947,0.13924,0.9,11,368
61,0,0,0.13916,0.13891,0.91,11,368
62,0,0,0.13886,0.1386,0.92,11,368
63,0,0,0.13858,0.13832,0.92,11,368
64,0,0,0.13832,0.13805,0.93,11,368
65,0,0,0.13807,0.1378,0.94,11,368
66,0,0,0.13783,0.13755,0.95,11,368
67,0,0,0.13761,0.13732,0.96,11,368
68,0,0,0.13741,0.13711,0.96,11,368
69,0,0,0.13721,0.13691,0.97,11,368
70,0,0,0.13703,0.13673,0.98,11,368
71,0,0,0.13686,0.13655,0.99,11,368
72,0,0,0.13669,0.13638,1.0,11,368
73,0,0,0.13654,0.13622,1.01,11,368
74,0,0,0.1364,0.13607,1.01,10,368
75,0.00171,7e-05,0.13627,0.13594,1.02,10,368
76,0.00354,0.00196,0.13614,0.13581,1.04,10,368
77,0.00526,0.00374,0.13602,0.13569,1.04,10,368
78,0.00687,0.00543,0.13591,0.13557,1.05,10,368
79,0.00838,0.00701,0.13581,0.13546,1.06,10,368
80,0.00978,0.00849,0.13571,0.13536,1.07,10,368
81,0.0111,0.00988,0.13562,0.13527,1.08,10,368
82,0.01234,0.01117,0.13554,0.13518,1.08,10,368
83,0.01349,0.01237,0.13546,0.1351,1.09,10,368
84,0.01457,0.0135,0.13539,0.13502,1.1,10,368
85,0.01558,0.01457,0.13532,0.13495,1.11,10,368
86,0.01653,0.01557,0.13525,0.13488,1.12,10,368
87,0.01741,0.01651,0.13519,0.13481,1.13,10,368
88,0.01824,0.01739,0.13513,0.13475,1.14,10,368
89,0.01902,0.01821,0.13508,0.1347,1.14,10,368
90,0.01975,0.01898,0.13503,0.13464,1.15,10,368
91,0.02043,0.0197,0.13498,0.13459,1.16,10,368
92,0.02107,0.02038,0.13494,0.13455,1.17,10,368
93,0.02167,0.02102,0.1349,0.1345,1.18,10,368
94,0.02223,0.02162,0.13486,0.13446,1.18,10,368
95,0.02276,0.02219,0.13482,0.13442,1.19,10,368
96,0.02326,0.02273,0.13479,0.13439,1.2,10,368
97,0.02373,0.02324,0.13476,0.13435,1.21,10,368
98,0.02418,0.02372,0.13472,0.13432,1.22,10,368
99,0.02461,0.02417,0.1347,0.13429,1.23,10,368
100,0.02501,0.0246,0.13467,0.13426,1.24,10,368
101,0.02539,0.02501,0.13464,0.13423,1.24,10,368
102,0.02576,0.02541,0.13462,0.1342,1.25,10,368
103,0.02611,0.02579,0.13459,0.13418,1.26,10,368
104,0.02645,0.02616,0.13457,0.13415,1.27,10,368
105,0.02678,0.02652,0.13455,0.13413,1.28,10,368
106,0.0271,0.02687,0.13452,0.1341,1.28,10,368
107,0.02741,0.02721,0.1345,0.13408,1.29,10,368
108,0.02772,0.02755,0.13448,0.13405,1.3,10,368
109,0.02802,0.02788,0.13446,0.13403,1.31,10,368
110,0.02833,0.02821,0.13444,0.13401,1.32,10,368
111,0.02864,0.02854,0.13442,0.13399,1.33,10,367
112,0.02895,0.02887,0.1344,0.13396,1.33,10,367
113,0.02926,0.02921,0.13437,0.13394,1.34,10,367
114,0.02958,0.02956,0.13435,0.13392,1.35,10,367
115,0.02992,0.02991,0.13433,0.13389,1.36,10,367
116,0.03026,0.03027,0.1343,0.13387,1.37,10,367
117,0.03062,0.03064,0.13428,0.13384,1.38,10,367
118,0.03101,0.03103,0.13425,0.13381,1.38,10,367
119,0.03141,0.03143,0.13422,0.13379,1.39,10,367
120,0.03184,0.03184,0.1342,0.13376,1.4,10,367
121,0.03229,0.03229,0.13416,0.13373,1.41,10,367
122,0.03277,0.03275,0.13413,0.13369,1.42,10,367
123,0.03329,0.03325,0.13409,0.13366,1.43,10,367
124,0.03384,0.0338,0.13406,0.13362,1.43,10,367
125,0.03443,0.03438,0.13402,0.13358,1.44,10,367
126,0.03506,0.03501,0.13397,0.13354,1.46,10,367
127,0.03574,0.03567,0.13392,0.13349,1.47,10,367
128,0.03647,0.03638,0.13387,0.13344,1.48,10,367
129,0.03724,0.03714,0.13382,0.13339,1.48,10,367
130,0.03807,0.03795,0.13376,0.13334,1.49,10,367
131,0.03894,0.03882,0.1337,0.13328,1.5,9,367
132,0.03987,0.03975,0.13364,0.13321,1.51,9,367
133,0.04084,0.04073,0.13357,0.13314,1.52,9,367
134,0.04186,0.04174,0.1335,0.13307,1.52,9,367
135,0.04292,0.0428,0.13342,0.133,1.53,9,367
136,0.04403,0.0439,0.13335,0.13292,1.54,9,367
137,0.04519,0.04503,0.13327,0.13284,1.55,9,367
138,0.04639,0.0462,0.13318,0.13276,1.56,9,367
139,0.04761,0.04742,0.1331,0.13268,1.57,9,367
140,0.04886,0.04867,0.13301,0.13259,1.57,9,367
141,0.05013,0.04996,0.13292,0.1325,1.58,9,367
142,0.05142,0.05129,0.13283,0.13241,1.59,9,367
143,0.05273,0.05263,0.13274,0.13231,1.6,9,367
144,0.05405,0.05397,0.13265,0.13222,1.61,9,367
145,0.05538,0.05529,0.13255,0.13213,1.62,9,366
146,0.05671,0.05658,0.13246,0.13204,1.63,9,366
