epoch,train_r2,validation_r2,train_rmse,validation_rmse,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0,0,0.15538,0.15457,0.08,36,32,28,33,35,33,31,36,36,29,38,29,34,33,32,37,32,30,29,27
1,0,0,0.15184,0.15104,0.13,36,32,28,33,35,33,31,36,36,29,38,29,34,32,32,37,32,30,29,27
2,0,0,0.14879,0.14801,0.16,36,32,28,33,35,33,31,36,36,30,38,29,34,32,32,37,32,30,30,28
3,0,0,0.14628,0.14552,0.21,36,32,28,33,35,33,30,36,36,30,38,28,34,32,32,37,32,30,30,28
4,0,0,0.1443,0.14356,0.25,36,32,29,33,35,33,30,36,36,30,38,28,34,32,32,37,32,30,30,28
5,0,0,0.1428,0.14209,0.28,36,32,29,33,35,33,30,36,36,30,37,28,35,32,33,37,33,30,30,28
6,0,0,0.14173,0.14105,0.33,36,32,29,33,35,33,30,36,36,30,37,28,35,32,33,37,33,30,30,28
7,0,0,0.14106,0.1404,0.37,36,32,29,33,35,33,30,36,36,30,37,28,35,32,33,38,33,30,31,28
8,0,0,0.14071,0.14006,0.42,36,32,29,33,35,33,30,36,36,30,37,28,35,33,33,38,33,30,31,27
9,0,0,0.1406,0.13998,0.46,36,32,29,33,35,33,30,36,36,30,37,28,35,33,33,38,33,31,31,27
10,0,0,0.14067,0.14007,0.49,36,32,29,33,35,33,30,36,37,31,37,28,35,33,34,38,33,31,31,27
11,0,0,0.14085,0.14027,0.53,36,32,29,33,35,33,30,36,37,31,37,28,35,33,34,38,33,31,31,27
12,0,0,0.14107,0.14051,0.56,35,32,29,34,35,33,30,36,37,31,37,28,35,33,34,38,33,31,32,27
13,0,0,0.14128,0.14073,0.6,35,32,29,34,34,33,30,36,37,31,37,28,35,33,34,38,33,31,32,27
14,0,0,0.14142,0.14089,0.63,35,32,29,34,34,33,30,36,37,31,37,27,35,33,34,38,33,31,32,27
15,0,0,0.14148,0.14095,0.67,35,32,29,34,34,33,31,36,37,31,37,27,35,33,34,38,33,31,32,27
16,0,0,0.14143,0.1409,0.7,35,32,29,34,34,33,31,36,37,31,37,27,35,33,34,38,33,31,32,27
17,0,0,0.14129,0.14077,0.74,35,32,29,34,34,33,31,36,37,31,37,27,35,33,34,38,33,31,32,27
18,0,0,0.14109,0.14056,0.77,35,32,29,34,34,33,31,36,37,31,37,28,35,33,34,38,33,31,32,27
19,0,0,0.14084,0.14031,0.81,35,32,29,34,34,33,31,36,36,31,37,28,35,33,34,38,33,31,32,27
20,0,0,0.14057,0.14003,0.85,35,32,29,34,34,33,31,36,36,31,37,28,35,33,34,38,33,31,31,27
21,0,0,0.1403,0.13976,0.88,35,32,29,34,34,33,31,36,36,31,37,28,35,33,34,38,33,31,31,27
22,0,0,0.14005,0.1395,0.92,35,32,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,32,31,27
23,0,0,0.13983,0.13928,0.95,35,32,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,32,31,27
24,0,0,0.13965,0.13909,0.99,35,32,29,34,34,33,31,36,36,30,38,28,35,33,34,38,33,32,31,27
25,0,0,0.1395,0.13893,1.02,35,32,29,34,34,33,31,36,36,30,38,28,35,33,34,38,33,32,31,27
26,0,0,0.1394,0.13882,1.06,35,32,29,34,34,33,31,36,36,30,38,28,35,33,34,38,33,32,31,27
27,0,0,0.13932,0.13874,1.09,34,32,29,34,34,33,31,36,36,30,38,28,35,33,34,38,33,32,31,27
28,0,0,0.13926,0.13868,1.13,34,32,29,34,34,33,31,36,36,30,38,28,35,33,34,38,34,32,31,27
29,0,0,0.13922,0.13864,1.16,34,32,29,34,34,33,31,36,36,30,38,28,35,33,34,38,34,32,31,27
30,0,0,0.13919,0.1386,1.2,34,32,29,34,34,34,31,35,36,30,38,28,35,33,34,38,34,32,31,27
31,0,0,0.13915,0.13856,1.23,34,32,29,34,34,34,32,35,36,30,38,28,35,33,34,38,34,32,31,27
32,0,0,0.1391,0.13851,1.27,34,32,29,34,34,34,32,35,36,30,38,28,35,33,34,38,34,32,31,27
33,0,0,0.13904,0.13845,1.3,34,32,29,34,34,34,32,35,36,30,38,28,35,33,34,38,34,32,31,27
34,0,0,0.13897,0.13838,1.34,34,32,29,34,34,34,32,36,36,30,38,28,35,33,34,38,34,32,31,27
35,0,0,0.13888,0.13829,1.37,34,32,29,34,34,34,32,36,36,31,38,28,35,33,34,38,34,32,31,27
36,0,0,0.13878,0.1382,1.41,34,32,29,34,34,34,32,36,36,31,38,28,35,33,34,38,33,32,31,27
37,0,0,0.13868,0.1381,1.45,34,32,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,32,31,27
38,0,0,0.13857,0.138,1.48,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,32,31,27
39,0,0,0.13846,0.1379,1.52,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
40,0,0,0.13836,0.1378,1.55,34,33,29,34,34,33,31,36,36,31,38,28,35,33,34,38,33,31,31,27
